Web Search interest: medicina+saúde+saude ciência+ciencia+tecnologia arte+cultura moda política+politica
Brazil 2006-2015

Interest over time
Week,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Alagoas,77,52,63,97,66
Maranhão,75,68,73,92,72
Rio de Janeiro,74,48,60,70,43
Minas Gerais,73,57,62,96,51
Espirito Santo,72,52,57,85,45
Sergipe,71,56,67,99,67
São Paulo,69,51,72,75,36
Pará,69,69,77,80,58
Rio Grande do Norte,68,61,65,85,68
Mato Grosso,68,58,58,93,55
Ceará,67,56,74,99,61
Santa Catarina,67,56,63,86,41
Rondônia,66,51,56,86,57
Rio Grande do Sul,63,52,68,70,39
Mato Grosso do Sul,62,56,74,82,52
Amazonas,62,66,71,68,59
Paraná,59,53,68,75,44
Paraíba,53,53,51,76,61

Top sub-regions for ciência+ciencia+tecnologia
Sub-region,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Amapá,93,100,100,76,92
Roraima,86,93,87,81,100
Pará,69,69,77,80,58
Tocantins,81,68,66,100,73
Maranhão,75,68,73,92,72
Amazonas,62,66,71,68,59
Goiás,81,66,74,91,57
Federal District,100,64,72,55,60
Acre,83,63,62,93,68
Piauí,87,62,62,100,67
Rio Grande do Norte,68,61,65,85,68
Pernambuco,80,59,80,91,56
Mato Grosso,68,58,58,93,55
Bahia,84,58,74,93,77
Minas Gerais,73,57,62,96,51
Mato Grosso do Sul,62,56,74,82,52
Santa Catarina,67,56,63,86,41
Sergipe,71,56,67,99,67
Ceará,67,56,74,99,61
Paraíba,53,53,51,76,61
Paraná,59,53,68,75,44
Rio Grande do Sul,63,52,68,70,39
Alagoas,77,52,63,97,66
Espirito Santo,72,52,57,85,45
Rondônia,66,51,56,86,57
São Paulo,69,51,72,75,36
Rio de Janeiro,74,48,60,70,43

Top sub-regions for arte+cultura
Sub-region,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Amapá,93,100,100,76,92
Roraima,86,93,87,81,100
Pernambuco,80,59,80,91,56
Pará,69,69,77,80,58
Ceará,67,56,74,99,61
Goiás,81,66,74,91,57
Mato Grosso do Sul,62,56,74,82,52
Bahia,84,58,74,93,77
Maranhão,75,68,73,92,72
Federal District,100,64,72,55,60
São Paulo,69,51,72,75,36
Amazonas,62,66,71,68,59
Rio Grande do Sul,63,52,68,70,39
Paraná,59,53,68,75,44
Sergipe,71,56,67,99,67
Tocantins,81,68,66,100,73
Rio Grande do Norte,68,61,65,85,68
Santa Catarina,67,56,63,86,41
Alagoas,77,52,63,97,66
Piauí,87,62,62,100,67
Acre,83,63,62,93,68
Minas Gerais,73,57,62,96,51
Rio de Janeiro,74,48,60,70,43
Mato Grosso,68,58,58,93,55
Espirito Santo,72,52,57,85,45
Rondônia,66,51,56,86,57
Paraíba,53,53,51,76,61

Top sub-regions for moda
Sub-region,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Tocantins,81,68,66,100,73
Piauí,87,62,62,100,67
Ceará,67,56,74,99,61
Sergipe,71,56,67,99,67
Alagoas,77,52,63,97,66
Minas Gerais,73,57,62,96,51
Bahia,84,58,74,93,77
Acre,83,63,62,93,68
Mato Grosso,68,58,58,93,55
Maranhão,75,68,73,92,72
Goiás,81,66,74,91,57
Pernambuco,80,59,80,91,56
Santa Catarina,67,56,63,86,41
Rondônia,66,51,56,86,57
Espirito Santo,72,52,57,85,45
Rio Grande do Norte,68,61,65,85,68
Mato Grosso do Sul,62,56,74,82,52
Roraima,86,93,87,81,100
Pará,69,69,77,80,58
Amapá,93,100,100,76,92
Paraíba,53,53,51,76,61
Paraná,59,53,68,75,44
São Paulo,69,51,72,75,36
Rio de Janeiro,74,48,60,70,43
Rio Grande do Sul,63,52,68,70,39
Amazonas,62,66,71,68,59
Federal District,100,64,72,55,60

Top sub-regions for política+politica
Sub-region,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
Roraima,86,93,87,81,100
Amapá,93,100,100,76,92
Bahia,84,58,74,93,77
Tocantins,81,68,66,100,73
Maranhão,75,68,73,92,72
Rio Grande do Norte,68,61,65,85,68
Acre,83,63,62,93,68
Piauí,87,62,62,100,67
Sergipe,71,56,67,99,67
Alagoas,77,52,63,97,66
Paraíba,53,53,51,76,61
Ceará,67,56,74,99,61
Federal District,100,64,72,55,60
Amazonas,62,66,71,68,59
Pará,69,69,77,80,58
Goiás,81,66,74,91,57
Rondônia,66,51,56,86,57
Pernambuco,80,59,80,91,56
Mato Grosso,68,58,58,93,55
Mato Grosso do Sul,62,56,74,82,52
Minas Gerais,73,57,62,96,51
Espirito Santo,72,52,57,85,45
Paraná,59,53,68,75,44
Rio de Janeiro,74,48,60,70,43
Santa Catarina,67,56,63,86,41
Rio Grande do Sul,63,52,68,70,39
São Paulo,69,51,72,75,36


Top cities for medicina+saúde+saude
Town/City,medicina+saúde+saude
São Paulo,100
Santo André,91
Salvador,0
Teresina,0
Recife,0
Natal,0
Fortaleza,0
Brasília,0
Goiânia,0
Cuiabá,0
Diadema,0
Florianópolis,0
Rio de Janeiro,0
Belo Horizonte,0
Vitoria,0


Top cities for arte+cultura
Town/City,arte+cultura
São Paulo,100
Salvador,0
Recife,0
Natal,0
Fortaleza,0
Manaus,0
Belém,0
Brasília,0
Goiânia,0
Campo Grande,0
Campinas,0
Diadema,0
Curitiba,0
Porto Alegre,0
Florianópolis,0

Top cities for moda
Town/City,moda
Goiânia,100
Maceió,97
Fortaleza,95
Teresina,95
Blumenau,93
Uberlândia,93
Cuiabá,91
Belo Horizonte,89
Maringá,86
São Luís,86
Presidente Prudente,84
Salvador,83
Londrina,83
Recife,83
Natal,82

Top cities for política+politica
Town/City,política+politica
Campina Grande,100
Maceió,0
Salvador,0
Teresina,0
Recife,0
João Pessoa,0
Natal,0
Fortaleza,0
São Luís,0
Manaus,0
Belém,0
Brasília,0
Goiânia,0
Cuiabá,0
Campo Grande,0



Top searches for medicina+saúde+saude
bradesco,100
saude bradesco,90
plano de saude,90
ministerio saude,70
ministerio da saude,70
secretaria de saude,50
faculdade de medicina,35
planos de saude,35
unimed,30
ministério da saúde,25
secretaria da saude,25
plano de saúde,25
saude publica,25
concursos,25
sus,20
amil,20
sulamerica,20
saude caixa,20
sulamerica saude,15
medicina veterinaria,15
amil saude,15
medial saude,15
medicina do trabalho,15
saude da familia,15
sul america,15
saude mental,15
sul america saude,15
saúde bradesco,10
vida e saude,10
sc saude,10
porto seguro,10
planos de saúde,10
saude da mulher,10
santa casa saude,10
revista saude,10
pro saude,10
porto seguro saude,10
tempo saude,10
saude bucal,10
ministério da saude,5
ministerio da saúde,5
ans,5
saude coletiva,5
medicina nuclear,5
dieta e saude,5
emagrecer com saude,5
fundação saude,5
a mais saude,5
medicina legal,5
anvisa,5


Top searches for ciência+ciencia+tecnologia
a tecnologia,100
tecnologia da informação,55
ciencias,25
ciencia sem fronteiras,25
ciencia e tecnologia,25
ciência e tecnologia,20
filosofia,15
cobra tecnologia,15
ciencia da computação,15
tecnologia e educação,15
ti,10
ciencia politica,10
ciencia hoje,10
tecnologia na educação,10
ciencia sem fronteira,10
ciencia brasil,10
tecnologia de alimentos,10
ciência da computação,5
ciencias e tecnologia,5
ciência política,5
ciência sem fronteiras,5
filosofia da ciencia,5
ciencia moderna,5
uol tecnologia,5
tecnologia e sociedade,5
concurso cobra tecnologia,5
ciencia da informação,5
noticias tecnologia,5
senso comum,5
tecnologia educacional,5
tecnologia 3g,5
globo ciencia,5
tecnologia assistiva,5
ciencia da computacao,5
ciência hoje,5
feira de ciencia,5
gas tecnologia,5
blog tecnologia,5
capes,5
evolução da tecnologia,5
ciencia da computaçao,5
conceito de tecnologia,5
tecnologia na escola,5
algar tecnologia,5
clinica ciencia,5


Top searches for arte+cultura
cultura livraria,100
cultura inglesa,35
tv cultura,25
saraiva,25
arte moderna,20
arte brasil,20
radio cultura,20
livraria saraiva,20
artes,15
cultura brasileira,15
obras de arte,10
secretaria de cultura,10
historia da arte,10
cultura fm,10
artesanato,10
casa de cultura,10
arte da guerra,10
quintal da cultura,10
obra de arte,5
vale cultura,5
cultura organizacional,5
cultura africana,5
cultura popular,5
arte brasileira,5
casa da arte,5
história da arte,5
secretaria da cultura,5
cultura indigena,5
arte barroca,5
radio cultura fm,5
arte contemporânea,5
casa da cultura,5
arte rupestre,5
arte grega,5
cultura afro,5
ministerio da cultura,5
fnac,5
conceito de cultura,5
cinema cultura,5
cultura negra,5
arte popular,5
estante virtual,5
fazendo arte,5
arte romana,5
pop arte,5
arte contemporanea,5
cultura de massa,5
ministério da cultura,5
cultura afro-brasileira,5
renascimento,5


Top searches for moda
jogos moda,100
jogos,100
jogos de moda,85
roupas,40
moda feminina,35
jogos da moda,35
barbie,30
moda inverno,20
moda 2014,20
moda 2013,20
moda 2015,20
jogos da barbie,20
vestidos,20
moda praia,20
moda 2012,20
blog,20
blog moda,20
jogo de moda,15
moda masculina,15
jogos de barbie,15
roupas da moda,15
jogos de vestir,15
moda 2011,15
moda infantil,15
moda intima,15
esquadrão da moda,10
blog de moda,10
moda evangelica,10
moda festa,10
jogo da moda,10
jogos de meninas,10
moda de viola,10
vestidos da moda,5
dicas de moda,5
jogos de moto,5
alta moda,5
roupas na moda,5
site de moda,5
moda fitness,5
moda gestante,5
moda plus size,5
jogo da barbie,5
blogs de moda,5
revista de moda,5
desfile de moda,5
blusas da moda,5
marisa,5
esquadrao da moda,5
moda inverno 2012,5
moda inverno 2013,5


Top searches for política+politica
a politica,100
economia,20
politica no brasil,20
politica do brasil,20
politica social,20
economia politica,15
politica brasileira,10
politica economica,10
filosofia,10
ciencia politica,10
politica atual,5
politica de saude,5
reforma politica,5
filosofia politica,5
politica publica,5
economia política,5
democracia,5
etica,5
politica livre,5
blog politica,5
emancipação,5
politica fiscal,5
politica ambiental,5
política pública,5
conceito de politica,5
politica monetaria,5
ciência política,5
reforma política,5
folha politica,5
politica externa,5
aristoteles,5
maquiavel,5
etica e politica,5
politica de segurança,5
participação politica,5
propaganda politica,5
noticias da politica,5
frases de politica,5
política ambiental,5
musicas de politica,5
filosofia política,5
uol politica,0
geografia politica,0
politica educacional,0
politica internacional,0
tudo sobre politica,0
conceito de política,0
política monetária,0
politicas publicas,0
politica dos governadores,0



Rising searches for medicina+saúde+saude
saude bradesco,+500%
amil saude,+450%
bradesco,+350%
amil,+300%
saude caixa,+300%
sulamerica saude,+250%
sulamerica,+180%
plano de saude,+150%
medial saude,+120%
unimed,+110%


Rising searches for ciência+ciencia+tecnologia
ciencia sem fronteira,Breakout
ciencia sem fronteiras,Breakout
cobra tecnologia,+300%
ciencia brasil,+50%
a tecnologia,+40%
ciencia da computação,+40%
tecnologia e educação,+40%


Rising searches for arte+cultura
quintal da cultura,Breakout
vale cultura,+1,400%
livraria saraiva,+300%
saraiva,+300%
radio cultura,+190%
cultura livraria,+120%
cultura fm,+90%
obra de arte,+60%
cultura inglesa,+40%


Rising searches for moda
jogos da barbie,Breakout
jogos da moda,Breakout
jogos de moda,Breakout
moda 2012,Breakout
moda 2013,Breakout
moda 2014,Breakout
moda 2015,Breakout
jogos moda,+4,350%
jogos,+3,900%
barbie,+3,450%


Rising searches for política+politica
politica livre,+1,000%
blog politica,+600%
folha politica,+250%
a politica,+70%
reforma politica,+60%
politica de saude,+50%
filosofia politica,+40%



