Web Search interest: medicina+saude+saúde meio ambiente religião+religiao economia esporte
Brazil 2006-2015

Interest over time
Week,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Minas Gerais,73,51,69,54,78
Espirito Santo,72,48,70,48,77
Sergipe,71,48,82,49,86
São Paulo,69,33,58,45,60
Pará,69,65,91,54,59
Rio Grande do Norte,68,47,80,54,82
Mato Grosso,68,56,62,56,73
Ceará,67,46,83,51,100
Santa Catarina,67,40,69,53,66
Rondônia,66,59,79,57,85
Rio Grande do Sul,63,44,81,51,58
Mato Grosso do Sul,62,52,65,55,62
Amazonas,62,62,93,62,52
Paraná,59,40,63,50,71
Paraíba,53,38,61,41,80

Top sub-regions for meio ambiente
Sub-region,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Amapá,93,100,0,79,42
Roraima,86,93,0,100,46
Tocantins,81,71,87,67,79
Maranhão,75,68,100,57,94
Pará,69,65,91,54,59
Bahia,84,62,82,55,100
Amazonas,62,62,93,62,52
Rondônia,66,59,79,57,85
Acre,83,58,90,66,87
Piauí,87,57,83,53,99
Mato Grosso,68,56,62,56,73
Mato Grosso do Sul,62,52,65,55,62
Minas Gerais,73,51,69,54,78
Goiás,81,51,76,59,84
Espirito Santo,72,48,70,48,77
Sergipe,71,48,82,49,86
Rio Grande do Norte,68,47,80,54,82
Ceará,67,46,83,51,100
Pernambuco,80,45,80,53,81
Alagoas,77,45,84,45,87
Rio Grande do Sul,63,44,81,51,58
Paraná,59,40,63,50,71
Santa Catarina,67,40,69,53,66
Rio de Janeiro,74,40,63,53,65
Paraíba,53,38,61,41,80
São Paulo,69,33,58,45,60
Federal District,100,31,65,56,62

Top sub-regions for religião+religiao
Sub-region,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Maranhão,75,68,100,57,94
Amazonas,62,62,93,62,52
Pará,69,65,91,54,59
Acre,83,58,90,66,87
Tocantins,81,71,87,67,79
Alagoas,77,45,84,45,87
Piauí,87,57,83,53,99
Ceará,67,46,83,51,100
Bahia,84,62,82,55,100
Sergipe,71,48,82,49,86
Rio Grande do Sul,63,44,81,51,58
Rio Grande do Norte,68,47,80,54,82
Pernambuco,80,45,80,53,81
Rondônia,66,59,79,57,85
Goiás,81,51,76,59,84
Espirito Santo,72,48,70,48,77
Santa Catarina,67,40,69,53,66
Minas Gerais,73,51,69,54,78
Mato Grosso do Sul,62,52,65,55,62
Federal District,100,31,65,56,62
Paraná,59,40,63,50,71
Rio de Janeiro,74,40,63,53,65
Mato Grosso,68,56,62,56,73
Paraíba,53,38,61,41,80
São Paulo,69,33,58,45,60
Amapá,93,100,0,79,42
Roraima,86,93,0,100,46

Top sub-regions for economia
Sub-region,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Roraima,86,93,0,100,46
Amapá,93,100,0,79,42
Tocantins,81,71,87,67,79
Acre,83,58,90,66,87
Amazonas,62,62,93,62,52
Goiás,81,51,76,59,84
Rondônia,66,59,79,57,85
Maranhão,75,68,100,57,94
Federal District,100,31,65,56,62
Mato Grosso,68,56,62,56,73
Bahia,84,62,82,55,100
Mato Grosso do Sul,62,52,65,55,62
Pará,69,65,91,54,59
Rio Grande do Norte,68,47,80,54,82
Minas Gerais,73,51,69,54,78
Santa Catarina,67,40,69,53,66
Piauí,87,57,83,53,99
Rio de Janeiro,74,40,63,53,65
Pernambuco,80,45,80,53,81
Rio Grande do Sul,63,44,81,51,58
Ceará,67,46,83,51,100
Paraná,59,40,63,50,71
Sergipe,71,48,82,49,86
Espirito Santo,72,48,70,48,77
Alagoas,77,45,84,45,87
São Paulo,69,33,58,45,60
Paraíba,53,38,61,41,80

Top sub-regions for esporte
Sub-region,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
Ceará,67,46,83,51,100
Bahia,84,62,82,55,100
Piauí,87,57,83,53,99
Maranhão,75,68,100,57,94
Acre,83,58,90,66,87
Alagoas,77,45,84,45,87
Sergipe,71,48,82,49,86
Rondônia,66,59,79,57,85
Goiás,81,51,76,59,84
Rio Grande do Norte,68,47,80,54,82
Pernambuco,80,45,80,53,81
Paraíba,53,38,61,41,80
Tocantins,81,71,87,67,79
Minas Gerais,73,51,69,54,78
Espirito Santo,72,48,70,48,77
Mato Grosso,68,56,62,56,73
Paraná,59,40,63,50,71
Santa Catarina,67,40,69,53,66
Rio de Janeiro,74,40,63,53,65
Federal District,100,31,65,56,62
Mato Grosso do Sul,62,52,65,55,62
São Paulo,69,33,58,45,60
Pará,69,65,91,54,59
Rio Grande do Sul,63,44,81,51,58
Amazonas,62,62,93,62,52
Roraima,86,93,0,100,46
Amapá,93,100,0,79,42


Top cities for medicina+saude+saúde
Town/City,medicina+saude+saúde
São Paulo,100
Santo André,91
Salvador,0
Teresina,0
Recife,0
Natal,0
Fortaleza,0
Brasília,0
Goiânia,0
Cuiabá,0
Diadema,0
Florianópolis,0
Rio de Janeiro,0
Belo Horizonte,0
Vitoria,0

Top cities for meio ambiente
Town/City,meio ambiente
São Luís,100
Pôrto Velho,91
Manaus,91
Belém,91
Salvador,90
Cuiabá,84
Teresina,83
Campo Grande,78
Belo Horizonte,75
Natal,72
João Pessoa,72
Goiânia,71
Uberlândia,69
Fortaleza,68
Santa Maria,68


Top cities for economia
Town/City,economia
Florianópolis,100
Brasília,94
Manaus,93
Pôrto Velho,89
Natal,88
Cuiabá,87
Campo Grande,87
Salvador,87
São Luís,84
Recife,82
Belém,81
Curitiba,80
Santa Maria,80
Belo Horizonte,79
Fortaleza,78

Top cities for esporte
Town/City,esporte
Teresina,100
Salvador,92
São Luís,91
Fortaleza,91
Pôrto Velho,87
Campina Grande,85
Goiânia,79
João Pessoa,78
Maceió,74
Natal,74
Brasília,71
Cascavel,71
Cuiabá,69
Vitoria,69
Recife,64



Top searches for medicina+saude+saúde
bradesco,100
saude bradesco,90
plano de saude,90
ministerio saude,70
ministerio da saude,70
secretaria de saude,50
faculdade de medicina,35
planos de saude,35
unimed,30
ministério da saúde,25
secretaria da saude,25
plano de saúde,25
saude publica,25
concursos,25
sus,20
amil,20
sulamerica,20
saude caixa,20
sulamerica saude,15
medicina veterinaria,15
amil saude,15
medial saude,15
medicina do trabalho,15
saude da familia,15
sul america,15
saude mental,15
sul america saude,15
saúde bradesco,10
vida e saude,10
sc saude,10
porto seguro,10
planos de saúde,10
saude da mulher,10
santa casa saude,10
revista saude,10
pro saude,10
porto seguro saude,10
tempo saude,10
saude bucal,10
ministério da saude,5
ministerio da saúde,5
ans,5
saude coletiva,5
medicina nuclear,5
dieta e saude,5
emagrecer com saude,5
fundação saude,5
a mais saude,5
medicina legal,5
anvisa,5


Top searches for meio ambiente
o meio ambiente,100
secretaria meio ambiente,20
dia meio ambiente,15
projeto meio ambiente,10
atividades meio ambiente,10
tecnico meio ambiente,10
frases meio ambiente,10
sustentabilidade,5
curso meio ambiente,5
texto meio ambiente,5
poluição,5
lixo,5
ministerio meio ambiente,5
natureza,5
meio ambiente reciclagem,5
reciclagem,5
concurso meio ambiente,5
ministério meio ambiente,5
imagens meio ambiente,5
meio ambiente resumo,5
fotos meio ambiente,5
projetos meio ambiente,5
jogos meio ambiente,5
semana meio ambiente,5
atividade meio ambiente,5
ecologia,5
redação meio ambiente,5
meio ambiente conceito,5
educação ambiental,5
noticias meio ambiente,5
desmatamento,5
aquecimento global,0
desenho meio ambiente,0
revista meio ambiente,0
frase meio ambiente,0
meio ambiente wikipedia,0
gestão ambiental,0
globalização,0
meio ambiente natural,0
impactos ambientais,0
direito ambiental,0
efeito estufa,0
desenvolvimento sustentavel,0
desenvolvimento sustentável,0


Top searches for religião+religiao
a religião,100
não religião,10
religiões,10
religião no brasil,10
egito,10
religioes,10
cristianismo,10
religião do brasil,5
religião catolica,5
islamismo,5
minha religião,5
religiao catolica,5
religião de deus,5
budismo,5
minha religiao,5
egito antigo,5
religião espirita,5
espiritismo,5
religiosidade,5
religião do egito,5
atividades de religião,5
filosofia e religião,5
religião umbanda,5
religião católica,5
religiao de deus,5
judaismo,5
religião africana,5
religião grega,5
significado de religião,5
tipos de religião,5
origem da religião,5
religião islamica,5
filosofia da religião,5
religião judaica,5
religião evangelica,5
história da religião,5
religião egipcia,5
atividade de religião,5
religião cristã,5
aula de religião,5
hebreus,5
religiao africana,5
ciencia e religiao,5
candomblé,5
hinduismo,5
religião budista,5
catolicismo,5
religiao espirita,5
maias,0
religião muçulmana,0


Top searches for economia
a economia,100
economia brasil,40
economia brasileira,25
economia do brasil,25
economia no brasil,15
economia politica,15
uol economia,10
economia mundial,10
a economia brasileira,10
economia de mercado,10
economia mista,10
rede economia,10
economia e sociedade,5
economia de energia,5
curso de economia,5
economia e mercado,5
noticias economia,5
setores da economia,5
caixa economia,5
conceito de economia,5
america economia,5
globo economia,5
economia internacional,5
economia de agua,5
faculdade de economia,5
economia da china,5
introdução a economia,5
economia colonial,5
globalização,5
economia solidária,5
economia global,5
economia solidaria,5
economia verde,5
g1 economia,5
terra economia,0
inflação,0
economia da africa,0
dicas de economia,0
globalização da economia,0
noticias de economia,0
economia criativa,0
economia domestica,0
economia de água,0
economia ambiental,0
macroeconomia,0
livros de economia,0
fundamentos da economia,0


Top searches for esporte
globo esporte,100
globo,100
esporte uol,5
uol,5
esporte interativo,5
esporte tv,0
flamengo,0
o globo esporte,0
lancenet,0
auto esporte,0
globo esporte flamengo,0
cruzeiro,0
noticias,0
globo ao vivo,0
palmeiras,0
g1 esporte,0
g1,0
jogos de esporte,0
corinthians,0
cruzeiro esporte clube,0
globo esporte palmeiras,0
esporte na globo,0
vasco,0
terra esporte,0
esportes,0
vasco globo esporte,0
gremio,0
corinthians globo esporte,0
esporte espetacular,0
tv online,0
globo noticias,0
lance,0
globo esporte gremio,0
cartola,0
globo esporte santos,0
esporte fino,0
espn,0
esporte clube bahia,0
band esporte,0
cruzeiro globo esporte,0
globo.com,0
globo.com esporte,0
noticias do esporte,0
globo esporte bahia,0
globoesporte,0
www globo esporte,0
globo esporte pe,0



Rising searches for medicina+saude+saúde
saude bradesco,+500%
amil saude,+450%
bradesco,+350%
amil,+300%
saude caixa,+300%
sulamerica saude,+250%
sulamerica,+180%
plano de saude,+150%
medial saude,+120%
unimed,+110%


Rising searches for meio ambiente
sustentabilidade,+950%
atividades meio ambiente,+550%
texto meio ambiente,+250%
frases meio ambiente,+200%
imagens meio ambiente,+200%
meio ambiente resumo,+200%
tecnico meio ambiente,+200%
projeto meio ambiente,+80%
dia meio ambiente,+70%
o meio ambiente,+70%


Rising searches for religião+religiao
minha religiao,+3,050%
atividades de religião,+1,600%
minha religião,+1,150%
não religião,+400%
religião espirita,+140%
religião de deus,+80%
a religião,+70%
egito antigo,+50%
umbanda,+40%


Rising searches for economia
uol economia,+1,250%
rede economia,+250%
economia de energia,+130%
noticias economia,+120%
setores da economia,+90%
a economia,+50%
curso de economia,+50%
economia e mercado,+50%
economia e sociedade,+50%
economia mista,+50%


Rising searches for esporte
globo ao vivo,+1,350%
globo esporte flamengo,+1,100%
globo,+800%
globo esporte,+800%
lancenet,+500%
o globo esporte,+350%
esporte interativo,+300%
esporte uol,+300%
uol,+300%
flamengo,+190%



